Belegungsfaktor: 0,0913242 | T(20): 077.824 | T1(20): 012.580 | T2(20): 017.847 | T3(20): 047.397
Belegungsfaktor: 0,0909091 | T(20): 063.195 | T1(20): 010.533 | T2(20): 017.847 | T3(20): 034.815
Belegungsfaktor: 0,0904977 | T(20): 101.523 | T1(20): 036.572 | T2(20): 023.406 | T3(20): 041.545
Belegungsfaktor: 0,0900901 | T(20): 068.755 | T1(20): 011.411 | T2(20): 020.773 | T3(20): 036.571
Belegungsfaktor: 0,0896861 | T(20): 069.047 | T1(20): 012.581 | T2(20): 019.895 | T3(20): 036.571
Belegungsfaktor: 0,0892857 | T(20): 065.829 | T1(20): 011.118 | T2(20): 019.017 | T3(20): 035.694
Belegungsfaktor: 0,0888889 | T(20): 090.697 | T1(20): 014.629 | T2(20): 037.449 | T3(20): 038.619
Belegungsfaktor: 0,0884956 | T(20): 066.706 | T1(20): 011.995 | T2(20): 021.358 | T3(20): 033.353
Belegungsfaktor: 0,0881057 | T(20): 112.347 | T1(20): 051.200 | T2(20): 023.405 | T3(20): 037.742
Belegungsfaktor: 0,0877193 | T(20): 098.597 | T1(20): 011.996 | T2(20): 019.309 | T3(20): 067.292
Belegungsfaktor: 0,0873362 | T(20): 140.726 | T1(20): 063.195 | T2(20): 039.204 | T3(20): 038.327
Belegungsfaktor: 0,0869565 | T(20): 072.851 | T1(20): 014.043 | T2(20): 019.603 | T3(20): 039.205
Belegungsfaktor: 0,0865801 | T(20): 067.291 | T1(20): 012.580 | T2(20): 019.895 | T3(20): 034.816
Belegungsfaktor: 0,0862069 | T(20): 325.339 | T1(20): 243.712 | T2(20): 026.917 | T3(20): 054.710
